kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil,Composite_Risk_Score_Normalized
KOTA PROBOLINGGO,575195.0,76.08,6.65,4.57,2376240.63,244.1,1.97,0.59,4386.5,98.4,2022,1.0,2151.18,Kota Malang,2.98,0.322,706.2375,72,0.14598825651253156
LAMONGAN,446601.0,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,1.0,7461.61,Kota Surabaya,3.16,0.273,4248.502409638554,156,0.17808434086458885
LUMAJANG,352776.0,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,1.0,5589.13,Kabupaten Jember,2.87,0.349,20.63870967741936,29,0.7386625401017921
MADIUN,405127.0,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,1.0,3323.97,Kota Madiun,2.38,0.354,624.4035714285715,110,0.6725870344255687
MAGETAN,396696.0,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,1.0,3415.37,Kota Madiun,2.38,0.352,1973.453488372093,18,0.7647019684495829
MALANG,367579.0,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,1.0,17416.29,Kota Malang,2.98,0.368,689.0861556064074,390,-0.7679315436697638
MOJOKERTO,445608.0,75.61,9.71,4.83,4354787.17,1135.5,0.8,2.75,1365.5,101.15,2022,1.0,15302.96,Kota Surabaya,3.16,0.327,433.2619429590018,182,-0.49284077728823367
NGANJUK,474429.0,73.95,10.7,4.74,1970006.41,1117.2,0.69,2.71,889.0,101.15,2022,1.0,4865.39,Kota Kediri,2.33,0.301,307.79425837320576,57,0.4168078594299904
NGAWI,382301.0,72.62,14.15,2.48,1962585.99,877.0,0.47,2.13,652.5,98.45,2022,1.0,3480.4,Kota Madiun,2.38,0.3,661.2274096385543,36,1.0656926872279866
PACITAN,327758.0,70.19,13.8,3.65,1961154.77,588.55,0.4,1.43,417.0,100.6,2022,1.0,2887.34,Kota Madiun,2.38,0.338,90.73852459016392,30,1.1920244773862536
PAMEKASAN,392345.0,69.35,13.93,1.4,1939686.39,864.65,0.82,2.1,1089.0,96.45,2022,1.0,3102.25,Kabupaten Sumenep,3.57,0.305,11.7437125748503,41,1.2089803748675487
PASURUAN,394016.0,71.29,8.96,5.91,4365133.19,1628.15,0.67,3.95,1097.0,100.1,2022,1.0,27379.32,Kota Malang,2.98,0.325,712.0077724358974,168,-0.6785150183843884
PONOROGO,362461.0,72.59,9.32,5.51,1954281.32,957.65,0.66,2.33,704.0,99.6,2022,1.0,3615.62,Kota Madiun,2.38,0.336,555.8402298850575,61,0.6758308713657787
