kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil,Composite_Risk_Score_Normalized
KOTA MADIUN,591753.25,83.5375,4.745,5.984999999999999,1991105.79,199.6125,1.82,0.48,5670.5,95.8,2022,4.0,2889.48,Kota Madiun,5.8,0.4115,84.60352941076935,40,-0.255633228130158
KOTA MALANG,658398.0,83.845,4.2875,7.015,2994143.98,862.75,1.36,2.08,6803.0,98.95,2022,4.0,14526.29,Kota Malang,6.45,0.415,934.0242424207044,479,-1.3168666446951314
KOTA MOJOKERTO,568705.5,80.7225,5.8225,4.8100000000000005,2510452.36,135.75,1.82,0.33,6663.0,98.35,2022,4.0,1337.48,Kota Surabaya,6.59,0.36,390.7964601735328,86,-0.17357933066435105
KOTA PASURUAN,518857.25,78.1525,6.5424999999999995,5.7749999999999995,2838837.64,215.5375,2.51,0.52,5743.0,100.05,2022,4.0,1575.12,Kota Malang,6.45,0.3735,101.54642857052193,68,-0.24173347378032659
KOTA PROBOLINGGO,615083.75,76.7175,6.522500000000001,4.54,2376240.63,246.275,1.97,0.59,4386.5,98.4,2022,4.0,2189.79,Kota Malang,6.45,0.34075,190.61162361588447,58,0.017553398962759186
LAMONGAN,473127.0,75.17500000000001,12.4475,5.6075,2488724.77,1367.8125,0.93,3.31,771.0,100.1,2022,4.0,6882.77,Kota Surabaya,6.59,0.2895,530.803206995537,186,0.12079793664348959
LUMAJANG,378440.25,69.14750000000001,8.9625,3.995,2000607.2,1137.6,0.79,2.75,631.5,97.8,2022,4.0,5847.29,Kabupaten Jember,7.39,0.3805,77.86630340015739,38,0.6701802076550181
MADIUN,429253.75,73.8925,10.9775,5.3149999999999995,1958410.31,753.95,0.77,1.83,700.5,98.1,2022,4.0,3622.24,Kota Madiun,5.8,0.34500000000000003,632.668367340483,130,0.6640017638079933
MAGETAN,422576.25,76.16499999999999,9.81,4.202500000000001,1957329.43,680.75,0.62,1.65,972.0,96.8,2022,4.0,3476.81,Kota Madiun,5.8,0.36775,34.150438596341445,24,0.6822774929138362
MALANG,391630.0,72.8075,9.475,5.9175,3068275.36,2709.6875,0.76,6.54,769.0,101.4,2022,4.0,18410.87,Kota Malang,6.45,0.3755,498.1790697669382,205,-0.8203968202602899
MOJOKERTO,476292.0,76.075,9.7775,4.71,4354787.17,1143.0,0.8,2.75,1365.5,101.15,2022,4.0,15837.63,Kota Surabaya,6.59,0.33525000000000005,431.45234972654015,209,-0.5784017790265082
NGANJUK,503781.0,74.5125,10.842500000000001,4.695,1970006.41,1122.825,0.69,2.71,889.0,101.15,2022,4.0,4734.79,Kota Kediri,5.76,0.31825000000000003,101.55348836973133,69,0.32084251039100686
NGAWI,406035.5,73.11500000000001,14.3375,2.4275,1962585.99,879.7750000000001,0.47,2.13,652.5,98.45,2022,4.0,3784.66,Kota Madiun,5.8,0.321,210.8471358425355,40,0.9722828671270086
PACITAN,346394.0,70.7525,13.6875,2.285,1961154.77,588.1375,0.4,1.43,417.0,100.6,2022,4.0,2911.2,Kota Madiun,5.8,0.3485,1188.4119999524637,30,1.2047922943914333
PAMEKASAN,421431.5,70.07749999999999,13.87,1.655,1939686.39,873.0124999999999,0.82,2.1,1089.0,96.45,2022,4.0,2931.48,Kabupaten Sumenep,6.32,0.33725,370.7210526120673,52,1.0598170589218807
PASURUAN,420722.0,71.755,9.17,5.5875,4365133.19,1640.4125,0.67,3.95,1097.0,100.1,2022,4.0,29191.89,Kota Malang,6.45,0.3565,1121.3659216063745,203,-0.7990466458937501
PONOROGO,386917.0,73.0325,9.4775,4.8725000000000005,1954281.32,959.0375,0.66,2.33,704.0,99.6,2022,4.0,3741.12,Kota Madiun,5.8,0.33975,1594.2808823294956,75,0.6511401569369335
PROBOLINGGO,504633.75,70.16,17.1725,3.2425,2553265.95,1174.275,0.58,2.83,681.5,97.45,2022,4.0,6032.5,Kota Malang,6.45,0.308,2066.452808965545,85,0.583879977208689
SAMPANG,443952.25,66.0025,21.7225,2.8175,1922122.97,1000.9375,1.08,2.41,805.0,98.8,2022,4.0,3235.16,Kabupaten Sumenep,6.32,0.2605,1059.3865671483672,15,1.230743770237437
SIDOARJO,559575.25,81.7525,5.09,8.2375,4368581.85,2141.6,0.86,5.14,3133.0,101.25,2022,4.0,39151.79,Kota Surabaya,6.59,0.3625,521.2569958846204,884,-2.110475411108884
SITUBONDO,386473.5,70.42750000000001,11.870000000000001,3.2975,1942750.77,695.9125,0.52,1.68,416.5,96.5,2022,4.0,3500.87,Kabupaten Jember,7.39,0.319,1023.3949999829434,58,1.1377145338186259
SUMENEP,460865.5,68.97,18.715,1.6225,1978927.22,1144.5,0.68,2.76,557.5,93.65,2022,4.0,5980.21,Kabupaten Sumenep,6.32,0.28175,208.48148147376,44,1.1521953199000563
SURABAYA,701912.5,83.82249999999999,4.6675,6.975,4375479.19,2907.5125,0.79,7.03,8442.0,98.2,2022,4.0,110807.64,Kota Surabaya,6.59,0.41425,1129.5697214852612,2909,-3.9463593760767335
TRENGGALEK,404007.25,71.78999999999999,10.7125,4.7325,1944932.74,740.4125,0.59,1.79,617.0,100.8,2022,4.0,3501.82,Kota Kediri,5.76,0.33475,828.6516128764952,21,0.7788862405653688
TUBAN,446073.75,71.2475,14.9375,4.4350000000000005,2539224.88,1216.6625,0.59,2.94,636.5,99.7,2022,4.0,12314.51,Kota Surabaya,6.59,0.33975,1095.1064553977756,135,0.34153635283847705
TULUNGAGUNG,415878.25,74.52250000000001,6.575,5.9,2029358.67,1106.4,0.71,2.67,1003.5,100.1,2022,4.0,7051.19,Kota Kediri,5.76,0.3315,15.26217616572403,118,0.28618497853950625
BANGKALAN,503207.0,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,1.0,4304.99,Kota Surabaya,6.3,0.299,2403.399999917124,46,0.6564121419430985
BANYUWANGI,448928.0,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,1.0,14311.95,Kabupaten Banyuwangi,5.71,0.351,968.991740410121,200,-0.22523506775793858
BATU,613985.0,79.07,3.31,4.52,3155367.0,220.2,3.38,0.53,1134.0,101.3,2023,1.0,3107.36,Kota Malang,5.74,0.33,257.2027026957513,53,-0.27905764075749845
BLITAR,387733.0,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,1.0,6905.4,Kota Kediri,5.36,0.36,1166.2882352712493,40,0.2895254598499123
BOJONEGORO,435936.0,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,1.0,16133.63,Kota Surabaya,6.3,0.283,400.04678571285694,138,0.31726590550279304
BONDOWOSO,494000.0,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,1.0,3542.89,Kabupaten Jember,6.48,0.35,255.6388059663337,38,0.7142760403159648
GRESIK,588316.0,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,1.0,27814.28,Kota Surabaya,6.3,0.33,1671.2253865179853,432,-1.287546240680018
JEMBER,441171.0,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,1.0,14045.56,Kabupaten Jember,6.48,0.344,830.7655290074035,252,-0.39335428998483385
JOMBANG,488754.0,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,1.0,7651.23,Kota Surabaya,6.3,0.339,148.82747380657878,120,-0.19585821238083365
KEDIRI,385874.0,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,1.0,7614.68,Kota Kediri,5.36,0.306,7708.695714175589,197,0.056120879327459794
KOTA BLITAR,568280.0,80.78,7.3,5.24,2330000.0,153.4,2.86,0.37,4619.0,98.6,2023,1.0,1322.43,Kota Kediri,5.36,0.397,407.64426229174063,60,-0.14463116346164742
KOTA KEDIRI,587723.0,80.97,7.15,4.06,2415362.0,295.2,2.94,0.71,4391.0,100.5,2023,1.0,22653.69,Kota Kediri,5.36,0.4,335.1669642827218,90,-0.5167570200520463
KOTA MADIUN,605131.0,83.71,4.74,5.85,2274277.0,200.0,2.45,0.48,5536.0,95.9,2023,1.0,2893.49,Kota Madiun,5.15,0.416,170.55066666439265,42,-0.40171367250267964
KOTA MALANG,674660.0,84.0,4.26,6.8,3309144.0,865.3,2.55,2.08,7790.0,98.9,2023,1.0,14547.44,Kota Malang,5.74,0.413,313.1909691623058,227,-1.5628288772582746
KOTA MOJOKERTO,581006.0,80.9,5.77,4.73,2832710.0,136.1,2.8,0.33,6732.0,98.3,2023,1.0,1318.43,Kota Surabaya,6.3,0.353,86.70499999566475,87,-0.34420277300875307
KOTA PASURUAN,529512.0,78.3,6.6,5.64,3138838.0,216.4,4.04,0.52,5549.0,100.1,2023,1.0,1605.48,Kota Malang,5.74,0.378,636.3904761601719,216,-0.4404223148476868
KOTA PROBOLINGGO,628380.0,76.93,6.48,4.53,2701086.0,247.0,3.08,0.59,4517.0,98.5,2023,1.0,2227.33,Kota Malang,5.74,0.347,135.00116504828154,87,-0.2010918104507415
LAMONGAN,481969.0,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,1.0,7759.23,Kota Surabaya,6.3,0.295,334.66249999947047,197,0.00925461154847597
LUMAJANG,386995.0,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,1.0,5884.74,Kabupaten Jember,6.48,0.391,48.547502216960005,40,0.5793305770990836
MADIUN,437296.0,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,1.0,3496.83,Kota Madiun,5.15,0.342,550.1781523092695,135,0.6068550405671944
MAGETAN,431203.0,76.3,9.8,4.16,2238808.0,681.7,0.59,1.64,965.0,96.8,2023,1.0,3509.15,Kota Madiun,5.15,0.373,1579.475700919818,26,0.578500217204309
MALANG,399647.0,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,1.0,18392.47,Kota Malang,5.74,0.378,377.895159515813,507,-0.9185076793467993
MOJOKERTO,486520.0,76.23,9.8,4.67,4624787.0,1145.5,0.85,2.76,1163.0,101.1,2023,1.0,16257.93,Kota Surabaya,6.3,0.338,414.36398852204,214,-0.6768740255134342
NGANJUK,513565.0,74.7,10.89,4.68,2258455.0,1124.7,0.68,2.71,872.0,101.1,2023,1.0,5175.68,Kota Kediri,5.36,0.324,231.88521897767905,74,0.2043081823877002
NGAWI,413947.0,73.28,14.4,2.41,2241054.0,880.7,0.44,2.12,631.0,98.3,2023,1.0,3571.8,Kota Madiun,5.15,0.328,3.654204308546333,42,0.8745022142651531
PACITAN,352606.0,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,1.0,3005.41,Kota Madiun,5.15,0.352,238.5649999940359,32,1.1554218948029908
PAMEKASAN,431127.0,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,1.0,3229.8,Kabupaten Sumenep,6.43,0.348,424.4176470338578,62,0.9002644088305185
PASURUAN,429624.0,71.91,9.24,5.48,4635133.0,1644.5,0.86,3.96,1101.0,100.1,2023,1.0,28943.38,Kota Malang,5.74,0.367,713.9375105840492,72,-0.9185257559263735
PONOROGO,395069.0,73.18,9.53,4.66,2235311.0,959.5,0.39,2.31,676.0,99.4,2023,1.0,3848.15,Kota Madiun,5.15,0.341,83.07293729345521,78,0.5892530964748254
PROBOLINGGO,514274.0,70.36,17.19,3.24,2806955.0,1176.9,0.77,2.83,682.0,97.5,2023,1.0,6095.67,Kota Malang,5.74,0.319,2655.962801919537,60,0.4542031953340361
SAMPANG,454716.0,66.19,21.76,2.72,2182861.0,1004.5,1.29,2.42,818.0,98.9,2023,1.0,3690.35,Kabupaten Sumenep,6.43,0.254,216.819999978318,15,1.1249606032958028
SIDOARJO,571696.0,81.88,5.0,8.05,4638582.0,2148.7,1.14,5.17,2968.0,101.1,2023,1.0,39232.68,Kota Surabaya,6.3,0.359,589.9999026289016,926,-2.2074247911138007
SITUBONDO,396587.0,70.65,11.9,3.27,2172287.0,697.0,0.58,1.68,421.0,96.6,2023,1.0,3594.13,Kabupaten Jember,6.48,0.326,3052.394444359656,63,1.029204954958629
SUMENEP,471860.0,69.13,18.7,1.71,2249113.0,1146.6,0.71,2.76,550.0,94.0,2023,1.0,6366.02,Kabupaten Sumenep,6.43,0.287,33.508571427614044,44,1.0196934792794936
SURABAYA,718370.0,83.99,4.65,6.76,4725479.0,2911.4,1.29,7.01,8667.0,98.1,2023,1.0,111588.09,Kota Surabaya,6.3,0.423,629.7106579216406,3059,-4.136536327193823
TRENGGALEK,411527.0,71.96,10.63,4.52,2223163.0,741.2,0.5,1.78,593.0,100.6,2023,1.0,3357.34,Kota Kediri,5.36,0.336,727.3428570909042,24,0.7057150715510183
TUBAN,454336.0,71.4,14.91,4.4,2864225.0,1218.6,0.62,2.93,617.0,99.7,2023,1.0,12575.0,Kota Surabaya,6.3,0.338,6984.573684173766,147,0.2309077866056182
TULUNGAGUNG,423875.0,74.65,6.53,5.65,2320000.0,1107.8,0.6,2.67,968.0,100.1,2023,1.0,7233.08,Kota Kediri,5.36,0.328,925.3742856878464,124,0.2129342125982144
BANGKALAN,514159.5,66.94749999999999,19.177500000000002,5.9725,2240701.0,1094.475,1.07,2.63,839.0,97.6,2023,2.0,4218.59,Kota Surabaya,4.91,0.2995,4848.563635922857,54,0.6410354318823019
BANYUWANGI,454374.25,73.9175,7.14,4.57,2638628.0,1746.525,0.76,4.2,485.0,100.1,2023,2.0,15382.49,Kabupaten Banyuwangi,3.97,0.34125,204.8516335225818,249,-0.22876550510903332
BATU,621183.25,79.225,3.2475,4.297499999999999,3155367.0,220.825,3.38,0.53,1134.0,101.3,2023,2.0,3312.45,Kota Malang,3.85,0.32925000000000004,922.2903030247136,68,-0.28588905048241964
BLITAR,392899.5,72.99000000000001,8.5575,4.875,2256050.0,1256.125,0.88,3.02,718.0,101.2,2023,2.0,7313.55,Kota Kediri,3.92,0.35824999999999996,217.93319148905252,54,0.27247180241230357
BOJONEGORO,444816.25,72.0375,12.0575,4.5775,2371016.0,1321.0249999999999,0.5,3.18,571.0,100.7,2023,2.0,16269.2,Kota Surabaya,4.91,0.28974999999999995,158.11034482719677,158,0.2806884980653461
BONDOWOSO,499935.25,70.725,13.155,4.0200000000000005,2183590.0,789.225,0.56,1.9,507.0,97.2,2023,2.0,3972.53,Kabupaten Jember,4.31,0.34575,230.9089834509908,47,0.7046692302767056
GRESIK,593444.0,78.5625,10.8,6.7275,4642031.0,1353.8000000000002,1.08,3.25,1075.0,101.4,2023,2.0,28657.1,Kota Surabaya,4.91,0.328,1501.6502669810627,500,-1.3059377146582851
JEMBER,445639.0,70.5475,9.385,3.815,2665392.0,2591.05,0.71,6.23,781.0,99.3,2023,2.0,15185.96,Kabupaten Jember,4.31,0.33825,273.1745374446932,283,-0.4008759173191978
JOMBANG,495108.0,75.2875,9.0125,4.4325,2945544.0,1354.15,0.91,3.25,1218.0,101.6,2023,2.0,7960.62,Kota Surabaya,4.91,0.32975,202.355056179667,145,-0.18834154836048436
KEDIRI,390310.75,74.805,10.5275,5.6175,2340668.0,1680.375,0.92,4.04,1101.0,101.9,2023,2.0,7978.4,Kota Kediri,3.92,0.3045,136.6006387507902,120,0.04847235265962649
KOTA BLITAR,575236.25,80.945,7.1625,5.2075000000000005,2330000.0,153.775,2.86,0.37,4619.0,98.6,2023,2.0,1370.59,Kota Kediri,3.92,0.386,40.7981132067774,79,-0.1445062564335516
KOTA KEDIRI,596055.0,81.19749999999999,6.99,4.0225,2415362.0,295.95,2.94,0.71,4391.0,100.5,2023,2.0,22333.23,Kota Kediri,3.92,0.38425000000000004,185.001295336548,230,-0.5082312067556646
KOTA MADIUN,613307.75,83.91,4.65,5.4624999999999995,2274277.0,200.45,2.45,0.48,5536.0,95.9,2023,2.0,2910.77,Kota Madiun,3.25,0.42074999999999996,276.56575342339465,142,-0.4092400182871101
KOTA MALANG,682580.25,84.17,4.172499999999999,6.625,3309144.0,867.15,2.55,2.08,7790.0,98.9,2023,2.0,14953.48,Kota Malang,3.85,0.41525,1237.0657074310864,573,-1.5829693341806932
KOTA MOJOKERTO,588496.5,81.11500000000001,5.72,4.487500000000001,2832710.0,136.425,2.8,0.33,6732.0,98.3,2023,2.0,1350.17,Kota Surabaya,4.91,0.354,250.81430412338813,229,-0.35259823025722237
KOTA PASURUAN,535682.75,78.45,6.529999999999999,5.387499999999999,3138838.0,217.15,4.04,0.52,5549.0,100.1,2023,2.0,1632.95,Kota Malang,3.85,0.367,56886699999999.99,240,-1.2353741628936163
KOTA PROBOLINGGO,634887.25,77.14500000000001,6.405,4.5075,2701086.0,247.625,3.08,0.59,4517.0,98.5,2023,2.0,2360.59,Kota Malang,3.85,0.34624999999999995,48745.77999025084,61,-0.2200277147190707
LAMONGAN,492635.75,75.44250000000001,12.355,5.18,2828323.0,1371.675,0.68,3.3,781.0,100.1,2023,2.0,7912.67,Kota Surabaya,4.91,0.2915,67.24706873313097,229,0.004521425795037745
LUMAJANG,391530.25,69.605,8.86,3.5725,2281469.0,1140.8,0.64,2.74,634.0,97.8,2023,2.0,6420.41,Kabupaten Jember,4.31,0.384,313.48257016201853,53,0.5740937827186638
MADIUN,443023.25,74.2175,10.9375,4.9399999999999995,2243291.0,755.325,0.49,1.82,678.0,98.0,2023,2.0,3622.42,Kota Madiun,3.25,0.33375,47.24365690803942,51,0.6136232308092885
MAGETAN,437182.0,76.41749999999999,9.68,3.94,2238808.0,682.6500000000001,0.59,1.64,965.0,96.8,2023,2.0,3619.52,Kota Madiun,3.25,0.3725,13.290996398543468,29,0.5744089530607902
MALANG,404818.75,73.1325,9.3325,5.5575,3368275.0,2720.7,0.83,6.54,782.0,101.2,2023,2.0,18789.06,Kota Malang,3.85,0.36925,70.2312159899466,292,-0.91623022231441
MOJOKERTO,492044.5,76.345,9.6925,4.47,4624787.0,1147.7,0.85,2.76,1163.0,101.1,2023,2.0,16775.73,Kota Surabaya,4.91,0.33775,472.75116836400673,55,-0.6868413876440185
NGANJUK,520102.25,74.83500000000001,10.71,4.4775,2258455.0,1126.475,0.68,2.71,872.0,101.1,2023,2.0,5172.23,Kota Kediri,3.92,0.31525000000000003,169.63687315609198,83,0.21214890569659062
NGAWI,421926.5,73.4375,14.252500000000001,2.4075,2241054.0,881.5500000000001,0.44,2.12,631.0,98.3,2023,2.0,3498.4,Kota Madiun,3.25,0.31825000000000003,390.2394580860371,57,0.8700300720062759
PACITAN,357115.25,71.0775,13.5075,1.7625000000000002,2199337.0,588.15,0.12,1.42,410.0,100.8,2023,2.0,3054.34,Kota Madiun,3.25,0.34575,118.1024999990158,39,1.154738107122321
PAMEKASAN,440218.5,70.45249999999999,13.74,1.7149999999999999,2221135.0,878.025,1.09,2.11,1101.0,96.7,2023,2.0,3244.16,Kabupaten Sumenep,4.53,0.33625,385.0136986248628,69,0.8986083087518627
PASURUAN,434740.0,72.0225,9.0875,5.365,4635133.0,1647.675,0.86,3.96,1101.0,100.1,2023,2.0,29565.83,Kota Malang,3.85,0.358,766.3236228593425,87,-0.9199455334382454
PONOROGO,399706.5,73.31,9.424999999999999,4.5425,2235311.0,960.35,0.39,2.31,676.0,99.4,2023,2.0,4002.72,Kota Madiun,3.25,0.33725000000000005,787.0519480417266,97,0.5865009490844393
PROBOLINGGO,520136.5,70.4825,17.005000000000003,3.18,2806955.0,1178.9750000000001,0.77,2.83,682.0,97.5,2023,2.0,6813.81,Kota Malang,3.85,0.324,1015.7928333316404,90,0.42143246101379545
SAMPANG,463975.25,66.32249999999999,21.5275,2.665,2182861.0,1007.45,1.29,2.42,818.0,98.9,2023,2.0,3704.11,Kabupaten Sumenep,4.53,0.24875,484200000000.0,23,1.1039115020797092
SIDOARJO,578093.0,82.0775,4.8825,7.66,4638582.0,2154.3999999999996,1.14,5.17,2968.0,101.1,2023,2.0,40035.91,Kota Surabaya,4.91,0.351,488.050362116901,1035,-2.200447346623329
SITUBONDO,400843.0,70.7925,11.8025,3.24,2172287.0,697.925,0.58,1.68,421.0,96.6,2023,2.0,3850.61,Kabupaten Jember,4.31,0.34075,16.32779220777807,70,0.9877012387699123
SUMENEP,480537.25,69.29249999999999,18.47,1.705,2249113.0,1148.25,0.71,2.76,550.0,94.0,2023,2.0,6785.71,Kabupaten Sumenep,4.53,0.29225,774.3874999032016,52,0.9795222633425286
SURABAYA,724447.0,84.16499999999999,4.4775,6.297499999999999,4725479.0,2914.05,1.29,7.01,8667.0,98.1,2023,2.0,113922.84,Kota Surabaya,4.91,0.4125,762.7052576781933,3371,-4.138989619510278
TRENGGALEK,417181.75,72.08749999999999,10.5975,4.364999999999999,2223163.0,742.0250000000001,0.5,1.78,593.0,100.6,2023,2.0,3519.24,Kota Kediri,3.92,0.3395,4026.29999798685,31,0.6920086720713791
TUBAN,462784.75,71.6275,14.7725,4.37,2864225.0,1220.25,0.62,2.93,617.0,99.7,2023,2.0,12105.34,Kota Surabaya,4.91,0.33725000000000005,1951.2328858994929,164,0.21445643365207062
TULUNGAGUNG,429854.5,74.77000000000001,6.4675,5.2675,2320000.0,1109.325,0.6,2.67,968.0,100.1,2023,2.0,7691.13,Kota Kediri,3.92,0.32625000000000004,57.21483516473037,144,0.21772768394511147
BANGKALAN,525112.0,67.07499999999999,19.005000000000003,5.765,2240701.0,1097.15,1.07,2.63,839.0,97.6,2023,3.0,4409.1,Kota Surabaya,3.14,0.3,4644.069230411994,30,0.622194101246049
BANYUWANGI,459820.5,74.045,6.9399999999999995,4.390000000000001,2638628.0,1749.15,0.76,4.2,485.0,100.1,2023,3.0,15536.79,Kabupaten Banyuwangi,3.1,0.3315,2903.1676595682907,139,-0.2208322034220707
BATU,628381.5,79.38,3.185,4.074999999999999,3155367.0,221.45,3.38,0.53,1134.0,101.3,2023,3.0,3251.0,Kota Malang,2.27,0.3285,76.92064516079407,37,-0.28938558611743154
BLITAR,398066.0,73.14,8.425,4.84,2256050.0,1258.65,0.88,3.02,718.0,101.2,2023,3.0,7109.3,Kota Kediri,2.55,0.3565,72.94549618309475,46,0.26308032279564864
BOJONEGORO,453696.5,72.275,11.934999999999999,4.525,2371016.0,1322.4499999999998,0.5,3.18,571.0,100.7,2023,3.0,15821.75,Kota Surabaya,3.14,0.2965,174.6777358488918,89,0.25140567409883124
BONDOWOSO,505870.5,70.89,12.969999999999999,3.89,2183590.0,790.25,0.56,1.9,507.0,97.2,2023,3.0,3806.79,Kabupaten Jember,3.05,0.3415,1531.5833992034327,31,0.7025116485625271
GRESIK,598572.0,78.685,10.64,6.635,4642031.0,1357.2,1.08,3.25,1075.0,101.4,2023,3.0,28557.48,Kota Surabaya,3.14,0.326,1387.3831171325658,272,-1.3125376424642707
JEMBER,450107.0,70.67500000000001,9.26,3.62,2665392.0,2595.3,0.71,6.23,781.0,99.3,2023,3.0,16031.21,Kabupaten Jember,3.05,0.3325,50.06076233182253,157,-0.40470471025722754
JOMBANG,501462.0,75.41499999999999,8.875,4.205,2945544.0,1357.0,0.91,3.25,1218.0,101.6,2023,3.0,8292.69,Kota Surabaya,3.14,0.3205,600.1953114530475,81,-0.18110865017333183
KEDIRI,394747.5,74.93,10.335,5.445,2340668.0,1683.5500000000002,0.92,4.04,1101.0,101.9,2023,3.0,8528.33,Kota Kediri,2.55,0.303,1732.5402506939656,70,0.03849401832632356
KOTA BLITAR,582192.5,81.11,7.025,5.175000000000001,2330000.0,154.15,2.86,0.37,4619.0,98.6,2023,3.0,1372.03,Kota Kediri,2.55,0.375,453.5474576194314,46,-0.143796801819704
KOTA KEDIRI,604387.0,81.425,6.83,3.985,2415362.0,296.7,2.94,0.71,4391.0,100.5,2023,3.0,22945.23,Kota Kediri,2.55,0.36850000000000005,62.2020661156168,114,-0.5113720726589251
KOTA MADIUN,621484.5,84.11,4.5600000000000005,5.074999999999999,2274277.0,200.9,2.45,0.48,5536.0,95.9,2023,3.0,2949.95,Kota Madiun,2.16,0.4255,554.2404081610031,31,-0.4170403707600305
KOTA MALANG,690500.5,84.34,4.085,6.449999999999999,3309144.0,869.0,2.55,2.08,7790.0,98.9,2023,3.0,15182.62,Kota Malang,2.27,0.4175,275.10566552882244,144,-1.6008964676624784
KOTA MOJOKERTO,595987.0,81.33000000000001,5.67,4.245,2832710.0,136.75,2.8,0.33,6732.0,98.3,2023,3.0,1348.53,Kota Surabaya,3.14,0.355,100.2403314911589,126,-0.36057604626010364
KOTA PASURUAN,541853.5,78.6,6.46,5.135,3138838.0,217.9,4.04,0.52,5549.0,100.1,2023,3.0,1689.76,Kota Malang,2.27,0.356,191.26869565051072,142,-0.4063530266162404
KOTA PROBOLINGGO,641394.5,77.36000000000001,6.33,4.485,2701086.0,248.25,3.08,0.59,4517.0,98.5,2023,3.0,2418.14,Kota Malang,2.27,0.3455,310.8648854953922,42,-0.23801635521832046
LAMONGAN,503302.5,75.595,12.29,4.9,2828323.0,1373.85,0.68,3.3,781.0,100.1,2023,3.0,7818.37,Kota Surabaya,3.14,0.28800000000000003,415.4834726089708,142,0.0028878937496691504
LUMAJANG,396065.5,69.84,8.79,3.4749999999999996,2281469.0,1142.5,0.64,2.74,634.0,97.8,2023,3.0,6392.38,Kabupaten Jember,3.05,0.377,133.79444973037306,27,0.575909845372902
MADIUN,448750.5,74.41499999999999,10.835,4.74,2243291.0,756.15,0.49,1.82,678.0,98.0,2023,3.0,3981.44,Kota Madiun,2.16,0.3255,526.6332082541714,88,0.6174708100454859
MAGETAN,443161.0,76.535,9.56,3.7199999999999998,2238808.0,683.6,0.59,1.64,965.0,96.8,2023,3.0,3749.73,Kota Madiun,2.16,0.372,94.70702541091973,19,0.5700694563526061
MALANG,409990.5,73.265,9.215,5.415,3368275.0,2725.8,0.83,6.54,782.0,101.2,2023,3.0,19212.26,Kota Malang,2.27,0.36050000000000004,131.0504711361279,307,-0.9142857021783999
MOJOKERTO,497569.0,76.46000000000001,9.585,4.27,4624787.0,1149.9,0.85,2.76,1163.0,101.1,2023,3.0,17175.05,Kota Surabaya,3.14,0.3375,371.1621174893072,30,-0.6953263610891295
NGANJUK,526639.5,74.97,10.530000000000001,4.275,2258455.0,1128.25,0.68,2.71,872.0,101.1,2023,3.0,5357.81,Kota Kediri,2.55,0.3065,460.3771698104521,48,0.21762453841314114
NGAWI,429906.0,73.595,14.105,2.4050000000000002,2241054.0,882.4000000000001,0.44,2.12,631.0,98.3,2023,3.0,3932.77,Kota Madiun,2.16,0.3085,87.6322121603006,24,0.8592048532745968
PACITAN,361624.5,71.215,13.365,1.695,2199337.0,588.3,0.12,1.42,410.0,100.8,2023,3.0,3189.79,Kota Madiun,2.16,0.3395,98.44435146402326,18,1.1529718053545475
PAMEKASAN,449310.0,70.585,13.629999999999999,1.69,2221135.0,880.25,1.09,2.11,1101.0,96.7,2023,3.0,3201.0,Kabupaten Sumenep,4.47,0.3245,494.9315789213194,44,0.8976718828528532
PASURUAN,439856.0,72.13499999999999,8.935,5.25,4635133.0,1650.85,0.86,3.96,1101.0,100.1,2023,3.0,30073.94,Kota Malang,2.27,0.349,738.0324740645276,56,-0.9199347207899853
PONOROGO,404344.0,73.44,9.32,4.425000000000001,2235311.0,961.2,0.39,2.31,676.0,99.4,2023,3.0,4185.2,Kota Madiun,2.16,0.3335,122.41071428531686,50,0.5833995995854043
