nama_kabupaten_kota,kuartal,Jumlah Perusahaan,tahun
KOTA SURABAYA,2,18064,2022
KOTA SURABAYA,3,20222,2022
KOTA SURABAYA,4,23263,2022
KOTA SURABAYA,1,25525,2023
KOTA SURABAYA,2,27121,2023
KOTA SURABAYA,3,4338,2023
KOTA SURABAYA,4,4426,2023
KOTA SURABAYA,1,4490,2024
KOTA SURABAYA,2,4490,2024
KOTA SURABAYA,3,4784,2024
KOTA SURABAYA,4,7354,2024
