id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,modal_usaha__triliun_rp_,periode_update,satuan,tahun
90,9090,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,13",2023-Q3,TRILIUN RUPIAH,2023
91,9191,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,07",2023-Q3,TRILIUN RUPIAH,2023
92,9292,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,03",2023-Q3,TRILIUN RUPIAH,2023
93,9393,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,05",2023-Q3,TRILIUN RUPIAH,2023
94,9494,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,03",2023-Q3,TRILIUN RUPIAH,2023
95,9595,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,04",2023-Q3,TRILIUN RUPIAH,2023
96,9696,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,13",2023-Q3,TRILIUN RUPIAH,2023
97,9797,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,02",2023-Q3,TRILIUN RUPIAH,2023
98,9898,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"0,05",2023-Q3,TRILIUN RUPIAH,2023
99,9999,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,"0,03",2023-Q3,TRILIUN RUPIAH,2023
100,100100,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,"0,27",2023-Q3,TRILIUN RUPIAH,2023
101,101101,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,"0,01",2023-Q3,TRILIUN RUPIAH,2023
102,102102,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,"0,03",2023-Q3,TRILIUN RUPIAH,2023
103,103103,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,"0,03",2023-Q3,TRILIUN RUPIAH,2023
104,104104,35,JAWA TIMUR,3523,KABUPATEN TUBAN,"0,05",2023-Q3,TRILIUN RUPIAH,2023
105,105105,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,"0,03",2023-Q3,TRILIUN RUPIAH,2023
106,106106,35,JAWA TIMUR,3579,KOTA BATU,"0,02",2023-Q3,TRILIUN RUPIAH,2023
107,107107,35,JAWA TIMUR,3572,KOTA BLITAR,"0,02",2023-Q3,TRILIUN RUPIAH,2023
108,108108,35,JAWA TIMUR,3571,KOTA KEDIRI,"0,05",2023-Q3,TRILIUN RUPIAH,2023
109,109109,35,JAWA TIMUR,3577,KOTA MADIUN,"0,03",2023-Q3,TRILIUN RUPIAH,2023
110,110110,35,JAWA TIMUR,3573,KOTA MALANG,"0,14",2023-Q3,TRILIUN RUPIAH,2023
111,111111,35,JAWA TIMUR,3576,KOTA MOJOKERTO,"0,01",2023-Q3,TRILIUN RUPIAH,2023
