id,id_index,kode_provinsi,nama_provinsi,deskripsi,target,realisasi,periode_update,satuan,tahun
109,109109,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
110,110110,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
111,111111,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
112,112112,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
113,113113,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
114,114114,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
115,115115,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
116,116116,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
117,117117,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
118,118118,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
119,119119,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
120,120120,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
121,121121,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
122,122122,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
123,123123,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
124,124124,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
125,125125,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
126,126126,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
127,127127,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
128,128128,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
129,129129,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
130,130130,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
131,131131,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
