id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_ekraf,jumlah_usaha,periode_update,satuan,tahun
138,138138,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,KULINER,17,2024,UNIT,2024
139,139139,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,MUSIK,5,2024,UNIT,2024
140,140140,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,PENGEMBANG PERMAINAN,1,2024,UNIT,2024
141,141141,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,PERIKLANAN,2,2024,UNIT,2024
142,142142,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,SENI PERTUNJUKKAN,4,2024,UNIT,2024
143,143143,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,SENI RUPA,2,2024,UNIT,2024
144,144144,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,TELEVISI DAN RADIO,1,2024,UNIT,2024
145,145145,35,JAWA TIMUR,3507,KABUPATEN MALANG,FASHION,8,2024,UNIT,2024
146,146146,35,JAWA TIMUR,3507,KABUPATEN MALANG,"FILM, ANIMASI, DAN VIDEO",4,2024,UNIT,2024
147,147147,35,JAWA TIMUR,3507,KABUPATEN MALANG,FOTOGRAFI,4,2024,UNIT,2024
148,148148,35,JAWA TIMUR,3507,KABUPATEN MALANG,KRIYA,35,2024,UNIT,2024
149,149149,35,JAWA TIMUR,3507,KABUPATEN MALANG,KULINER,35,2024,UNIT,2024
150,150150,35,JAWA TIMUR,3507,KABUPATEN MALANG,SENI PERTUNJUKKAN,90,2024,UNIT,2024
151,151151,35,JAWA TIMUR,3507,KABUPATEN MALANG,TELEVISI DAN RADIO,4,2024,UNIT,2024
152,152152,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,DESAIN PRODUK,2,2024,UNIT,2024
153,153153,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,FASHION,22,2024,UNIT,2024
154,154154,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,KRIYA,53,2024,UNIT,2024
155,155155,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,KULINER,39,2024,UNIT,2024
156,156156,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,MUSIK,14,2024,UNIT,2024
157,157157,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,SENI PERTUNJUKKAN,28,2024,UNIT,2024
158,158158,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,APLIKASI,1,2024,UNIT,2024
159,159159,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,ARSITEKTUR,3,2024,UNIT,2024
160,160160,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,DESAIN INTERIOR,3,2024,UNIT,2024
161,161161,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,DESAIN KOMUNIKASI VISUAL,6,2024,UNIT,2024
162,162162,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,DESAIN PRODUK,1,2024,UNIT,2024
163,163163,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,FASHION,15,2024,UNIT,2024
164,164164,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"FILM, ANIMASI, DAN VIDEO",26,2024,UNIT,2024
165,165165,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,FOTOGRAFI,13,2024,UNIT,2024
166,166166,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,KRIYA,22,2024,UNIT,2024
167,167167,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,KULINER,111,2024,UNIT,2024
168,168168,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,MUSIK,8,2024,UNIT,2024
169,169169,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,PENERBITAN,3,2024,UNIT,2024
170,170170,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,PENGEMBANG PERMAINAN,3,2024,UNIT,2024
171,171171,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,PERIKLANAN,2,2024,UNIT,2024
172,172172,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,SENI PERTUNJUKKAN,11,2024,UNIT,2024
173,173173,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,SENI RUPA,9,2024,UNIT,2024
174,174174,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,TELEVISI DAN RADIO,7,2024,UNIT,2024
175,175175,35,JAWA TIMUR,3521,KABUPATEN NGAWI,APLIKASI,9,2024,UNIT,2024
176,176176,35,JAWA TIMUR,3521,KABUPATEN NGAWI,ARSITEKTUR,19,2024,UNIT,2024
177,177177,35,JAWA TIMUR,3521,KABUPATEN NGAWI,DESAIN INTERIOR,6,2024,UNIT,2024
178,178178,35,JAWA TIMUR,3521,KABUPATEN NGAWI,DESAIN KOMUNIKASI VISUAL,6,2024,UNIT,2024
179,179179,35,JAWA TIMUR,3521,KABUPATEN NGAWI,DESAIN PRODUK,23,2024,UNIT,2024
180,180180,35,JAWA TIMUR,3521,KABUPATEN NGAWI,FASHION,93,2024,UNIT,2024
181,181181,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"FILM, ANIMASI, DAN VIDEO",2,2024,UNIT,2024
182,182182,35,JAWA TIMUR,3521,KABUPATEN NGAWI,FOTOGRAFI,36,2024,UNIT,2024
183,183183,35,JAWA TIMUR,3521,KABUPATEN NGAWI,KRIYA,72,2024,UNIT,2024
184,184184,35,JAWA TIMUR,3521,KABUPATEN NGAWI,KULINER,47,2024,UNIT,2024
185,185185,35,JAWA TIMUR,3521,KABUPATEN NGAWI,MUSIK,2,2024,UNIT,2024
186,186186,35,JAWA TIMUR,3521,KABUPATEN NGAWI,PENERBITAN,11,2024,UNIT,2024
187,187187,35,JAWA TIMUR,3521,KABUPATEN NGAWI,PENGEMBANG PERMAINAN,1,2024,UNIT,2024
188,188188,35,JAWA TIMUR,3521,KABUPATEN NGAWI,PERIKLANAN,19,2024,UNIT,2024
189,189189,35,JAWA TIMUR,3521,KABUPATEN NGAWI,SENI PERTUNJUKKAN,9,2024,UNIT,2024
190,190190,35,JAWA TIMUR,3521,KABUPATEN NGAWI,SENI RUPA,7,2024,UNIT,2024
191,191191,35,JAWA TIMUR,3521,KABUPATEN NGAWI,TELEVISI DAN RADIO,13,2024,UNIT,2024
192,192192,35,JAWA TIMUR,3501,KABUPATEN PACITAN,DESAIN PRODUK,3,2024,UNIT,2024
193,193193,35,JAWA TIMUR,3501,KABUPATEN PACITAN,FASHION,3,2024,UNIT,2024
194,194194,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"FILM, ANIMASI, DAN VIDEO",1,2024,UNIT,2024
195,195195,35,JAWA TIMUR,3501,KABUPATEN PACITAN,FOTOGRAFI,2,2024,UNIT,2024
196,196196,35,JAWA TIMUR,3501,KABUPATEN PACITAN,KRIYA,22,2024,UNIT,2024
197,197197,35,JAWA TIMUR,3501,KABUPATEN PACITAN,KULINER,91,2024,UNIT,2024
198,198198,35,JAWA TIMUR,3501,KABUPATEN PACITAN,SENI RUPA,1,2024,UNIT,2024
199,199199,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,DESAIN KOMUNIKASI VISUAL,100,2024,UNIT,2024
200,200200,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,FASHION,39,2024,UNIT,2024
201,201201,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"FILM, ANIMASI, DAN VIDEO",1,2024,UNIT,2024
202,202202,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,FOTOGRAFI,14,2024,UNIT,2024
203,203203,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,KRIYA,90,2024,UNIT,2024
204,204204,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,KULINER,263,2024,UNIT,2024
205,205205,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,SENI PERTUNJUKKAN,8,2024,UNIT,2024
206,206206,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,APLIKASI,22,2024,UNIT,2024
207,207207,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,ARSITEKTUR,2,2024,UNIT,2024
208,208208,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,DESAIN INTERIOR,2,2024,UNIT,2024
209,209209,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,DESAIN KOMUNIKASI VISUAL,27,2024,UNIT,2024
210,210210,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,FASHION,577,2024,UNIT,2024
211,211211,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"FILM, ANIMASI, DAN VIDEO",47,2024,UNIT,2024
212,212212,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,FOTOGRAFI,34,2024,UNIT,2024
213,213213,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,KRIYA,182,2024,UNIT,2024
214,214214,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,KULINER,379,2024,UNIT,2024
215,215215,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,MUSIK,23,2024,UNIT,2024
216,216216,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,PENERBITAN,99,2024,UNIT,2024
217,217217,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,PERIKLANAN,8,2024,UNIT,2024
218,218218,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,SENI PERTUNJUKKAN,31,2024,UNIT,2024
219,219219,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,SENI RUPA,1,2024,UNIT,2024
220,220220,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,TELEVISI DAN RADIO,4,2024,UNIT,2024
221,221221,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,APLIKASI,134,2024,UNIT,2024
222,222222,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,ARSITEKTUR,23,2024,UNIT,2024
223,223223,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,DESAIN INTERIOR,12,2024,UNIT,2024
224,224224,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,DESAIN KOMUNIKASI VISUAL,44,2024,UNIT,2024
225,225225,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,DESAIN PRODUK,17,2024,UNIT,2024
226,226226,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,FASHION,603,2024,UNIT,2024
227,227227,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"FILM, ANIMASI, DAN VIDEO",22,2024,UNIT,2024
228,228228,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,FOTOGRAFI,45,2024,UNIT,2024
229,229229,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,KRIYA,1119,2024,UNIT,2024
230,230230,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,KULINER,8091,2024,UNIT,2024
231,231231,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,MUSIK,71,2024,UNIT,2024
232,232232,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,PENERBITAN,328,2024,UNIT,2024
233,233233,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,PENGEMBANG PERMAINAN,77,2024,UNIT,2024
234,234234,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,PERIKLANAN,56,2024,UNIT,2024
235,235235,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,SENI PERTUNJUKKAN,127,2024,UNIT,2024
236,236236,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,SENI RUPA,73,2024,UNIT,2024
237,237237,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,TELEVISI DAN RADIO,11,2024,UNIT,2024
238,238238,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,APLIKASI,5,2024,UNIT,2024
239,239239,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"FILM, ANIMASI, DAN VIDEO",3,2024,UNIT,2024
